名称,经度,纬度,高度,创建时间,注解,类型
TrackPt00223,113 19'42.40"E,23 6'29.13"N,9.6,2019.9.17 10:18:21,,默认图标模式
TrackPt00224,113 19'42.36"E,23 6'28.74"N,9.1,2019.9.17 10:18:22,,默认图标模式
TrackPt00225,113 19'42.33"E,23 6'28.35"N,8.4,2019.9.17 10:18:23,,默认图标模式
TrackPt00226,113 19'42.30"E,23 6'27.96"N,7.8,2019.9.17 10:18:24,,默认图标模式
TrackPt00227,113 19'42.29"E,23 6'27.58"N,7.5,2019.9.17 10:18:25,,默认图标模式
TrackPt00228,113 19'42.30"E,23 6'27.21"N,6.4,2019.9.17 10:18:26,,默认图标模式
TrackPt00229,113 19'42.31"E,23 6'26.84"N,6.4,2019.9.17 10:18:27,,默认图标模式
TrackPt00230,113 19'42.33"E,23 6'26.49"N,5.8,2019.9.17 10:18:28,,默认图标模式
TrackPt00231,113 19'42.35"E,23 6'26.16"N,5.3,2019.9.17 10:18:29,,默认图标模式
TrackPt00232,113 19'42.38"E,23 6'25.85"N,4.8,2019.9.17 10:18:30,,默认图标模式
TrackPt00233,113 19'42.40"E,23 6'25.56"N,4.5,2019.9.17 10:18:31,,默认图标模式
TrackPt00234,113 19'42.43"E,23 6'25.28"N,4.2,2019.9.17 10:18:32,,默认图标模式
TrackPt00235,113 19'42.50"E,23 6'24.59"N,4.2,2019.9.17 10:18:35,,默认图标模式
TrackPt00236,113 19'42.63"E,23 6'23.87"N,5,2019.9.17 10:18:38,,默认图标模式
TrackPt00237,113 19'42.65"E,23 6'23.58"N,5.1,2019.9.17 10:18:39,,默认图标模式
TrackPt00238,113 19'42.68"E,23 6'23.27"N,5.2,2019.9.17 10:18:40,,默认图标模式
TrackPt00239,113 19'42.71"E,23 6'22.94"N,5,2019.9.17 10:18:41,,默认图标模式
TrackPt00240,113 19'42.75"E,23 6'22.61"N,5.3,2019.9.17 10:18:42,,默认图标模式
TrackPt00241,113 19'42.77"E,23 6'22.29"N,5.5,2019.9.17 10:18:43,,默认图标模式
TrackPt00242,113 19'42.79"E,23 6'22.01"N,5.7,2019.9.17 10:18:44,,默认图标模式
TrackPt00243,113 19'42.81"E,23 6'21.34"N,6.8,2019.9.17 10:18:47,,默认图标模式
TrackPt00244,113 19'42.81"E,23 6'20.97"N,7.6,2019.9.17 10:18:50,,默认图标模式
TrackPt00245,113 19'42.80"E,23 6'20.68"N,7.9,2019.9.17 10:18:53,,默认图标模式
TrackPt00246,113 19'42.81"E,23 6'20.35"N,8.3,2019.9.17 10:18:56,,默认图标模式
TrackPt00247,113 19'42.81"E,23 6'19.98"N,7.5,2019.9.17 10:18:59,,默认图标模式
TrackPt00248,113 19'42.86"E,23 6'19.58"N,8.3,2019.9.17 10:19:04,,默认图标模式
TrackPt00249,113 19'42.88"E,23 6'19.45"N,8.6,2019.9.17 10:19:09,,默认图标模式
TrackPt00250,113 19'42.91"E,23 6'19.29"N,9.2,2019.9.17 10:19:14,,默认图标模式
TrackPt00251,113 19'42.95"E,23 6'19.00"N,9.4,2019.9.17 10:19:18,,默认图标模式
TrackPt00252,113 19'43.00"E,23 6'18.65"N,9,2019.9.17 10:19:21,,默认图标模式
TrackPt00253,113 19'43.06"E,23 6'18.23"N,9,2019.9.17 10:19:24,,默认图标模式
TrackPt00254,113 19'43.11"E,23 6'17.76"N,9.3,2019.9.17 10:19:27,,默认图标模式
TrackPt00255,113 19'43.12"E,23 6'17.23"N,8.9,2019.9.17 10:19:30,,默认图标模式
TrackPt00256,113 19'43.07"E,23 6'16.65"N,9.2,2019.9.17 10:19:33,,默认图标模式
TrackPt00257,113 19'42.90"E,23 6'16.09"N,9.2,2019.9.17 10:19:36,,默认图标模式
TrackPt00258,113 19'42.49"E,23 6'15.67"N,9.2,2019.9.17 10:19:39,,默认图标模式
TrackPt00259,113 19'41.81"E,23 6'15.51"N,10.9,2019.9.17 10:19:42,,默认图标模式
TrackPt00260,113 19'41.51"E,23 6'15.51"N,10.9,2019.9.17 10:19:43,,默认图标模式
TrackPt00261,113 19'41.19"E,23 6'15.50"N,10.8,2019.9.17 10:19:44,,默认图标模式
TrackPt00262,113 19'40.84"E,23 6'15.49"N,10.8,2019.9.17 10:19:45,,默认图标模式
TrackPt00263,113 19'40.47"E,23 6'15.47"N,10.7,2019.9.17 10:19:46,,默认图标模式
TrackPt00264,113 19'40.07"E,23 6'15.45"N,10.8,2019.9.17 10:19:47,,默认图标模式
TrackPt00265,113 19'39.68"E,23 6'15.44"N,10.9,2019.9.17 10:19:48,,默认图标模式
TrackPt00266,113 19'39.27"E,23 6'15.43"N,11.3,2019.9.17 10:19:49,,默认图标模式
TrackPt00267,113 19'38.85"E,23 6'15.42"N,11.3,2019.9.17 10:19:50,,默认图标模式
TrackPt00268,113 19'38.44"E,23 6'15.41"N,11.2,2019.9.17 10:19:51,,默认图标模式
TrackPt00269,113 19'38.03"E,23 6'15.42"N,11.1,2019.9.17 10:19:52,,默认图标模式
TrackPt00270,113 19'37.63"E,23 6'15.42"N,10.6,2019.9.17 10:19:53,,默认图标模式
TrackPt00271,113 19'37.22"E,23 6'15.43"N,10.6,2019.9.17 10:19:54,,默认图标模式
TrackPt00272,113 19'36.82"E,23 6'15.44"N,10.3,2019.9.17 10:19:55,,默认图标模式
TrackPt00273,113 19'36.40"E,23 6'15.44"N,9.8,2019.9.17 10:19:56,,默认图标模式
TrackPt00274,113 19'35.98"E,23 6'15.44"N,9.2,2019.9.17 10:19:57,,默认图标模式
TrackPt00275,113 19'35.55"E,23 6'15.45"N,7.9,2019.9.17 10:19:58,,默认图标模式
TrackPt00276,113 19'35.10"E,23 6'15.46"N,7.9,2019.9.17 10:19:59,,默认图标模式
TrackPt00277,113 19'34.63"E,23 6'15.47"N,7.5,2019.9.17 10:20:00,,默认图标模式
TrackPt00278,113 19'34.17"E,23 6'15.50"N,6.9,2019.9.17 10:20:01,,默认图标模式
TrackPt00279,113 19'33.72"E,23 6'15.52"N,6,2019.9.17 10:20:02,,默认图标模式
TrackPt00280,113 19'33.32"E,23 6'15.58"N,3.4,2019.9.17 10:20:03,,默认图标模式
TrackPt00281,113 19'32.93"E,23 6'15.61"N,2,2019.9.17 10:20:04,,默认图标模式
TrackPt00282,113 19'32.56"E,23 6'15.63"N,2.2,2019.9.17 10:20:05,,默认图标模式
TrackPt00283,113 19'32.20"E,23 6'15.61"N,2.2,2019.9.17 10:20:06,,默认图标模式
TrackPt00284,113 19'31.86"E,23 6'15.63"N,2.2,2019.9.17 10:20:07,,默认图标模式
TrackPt00285,113 19'31.53"E,23 6'15.64"N,1.9,2019.9.17 10:20:08,,默认图标模式
TrackPt00286,113 19'31.21"E,23 6'15.64"N,1.6,2019.9.17 10:20:09,,默认图标模式
TrackPt00287,113 19'30.90"E,23 6'15.67"N,1.6,2019.9.17 10:20:10,,默认图标模式
TrackPt00288,113 19'30.28"E,23 6'15.62"N,2.3,2019.9.17 10:20:12,,默认图标模式
TrackPt00289,113 19'29.96"E,23 6'15.61"N,4.4,2019.9.17 10:20:13,,默认图标模式
TrackPt00290,113 19'29.64"E,23 6'15.62"N,4.4,2019.9.17 10:20:14,,默认图标模式
TrackPt00291,113 19'29.30"E,23 6'15.62"N,5.2,2019.9.17 10:20:15,,默认图标模式
TrackPt00292,113 19'28.95"E,23 6'15.62"N,6.2,2019.9.17 10:20:16,,默认图标模式
TrackPt00293,113 19'28.59"E,23 6'15.63"N,7.2,2019.9.17 10:20:17,,默认图标模式
TrackPt00294,113 19'28.22"E,23 6'15.64"N,7.9,2019.9.17 10:20:18,,默认图标模式
TrackPt00295,113 19'27.86"E,23 6'15.64"N,8.5,2019.9.17 10:20:19,,默认图标模式
TrackPt00296,113 19'27.51"E,23 6'15.65"N,9.1,2019.9.17 10:20:20,,默认图标模式
TrackPt00297,113 19'27.17"E,23 6'15.66"N,9.5,2019.9.17 10:20:21,,默认图标模式
TrackPt00298,113 19'26.85"E,23 6'15.67"N,10.2,2019.9.17 10:20:22,,默认图标模式
TrackPt00299,113 19'26.54"E,23 6'15.67"N,10.6,2019.9.17 10:20:23,,默认图标模式
TrackPt00300,113 19'26.24"E,23 6'15.68"N,11.3,2019.9.17 10:20:24,,默认图标模式
TrackPt00301,113 19'25.43"E,23 6'15.69"N,12.6,2019.9.17 10:20:27,,默认图标模式
TrackPt00302,113 19'24.81"E,23 6'15.75"N,13,2019.9.17 10:20:30,,默认图标模式
TrackPt00303,113 19'24.33"E,23 6'15.82"N,13,2019.9.17 10:20:35,,默认图标模式
TrackPt00304,113 19'24.09"E,23 6'15.85"N,12.4,2019.9.17 10:20:40,,默认图标模式
TrackPt00305,113 19'23.78"E,23 6'15.89"N,12.1,2019.9.17 10:20:43,,默认图标模式
TrackPt00306,113 19'23.25"E,23 6'15.98"N,12.4,2019.9.17 10:20:46,,默认图标模式
TrackPt00307,113 19'22.50"E,23 6'16.16"N,11.2,2019.9.17 10:20:49,,默认图标模式
TrackPt00308,113 19'21.74"E,23 6'16.34"N,11.5,2019.9.17 10:20:52,,默认图标模式
TrackPt00309,113 19'20.93"E,23 6'16.51"N,10.9,2019.9.17 10:20:55,,默认图标模式
TrackPt00310,113 19'20.17"E,23 6'16.68"N,10.9,2019.9.17 10:20:58,,默认图标模式
TrackPt00311,113 19'19.44"E,23 6'16.87"N,10.4,2019.9.17 10:21:01,,默认图标模式
TrackPt00312,113 19'18.84"E,23 6'17.05"N,9.8,2019.9.17 10:21:04,,默认图标模式
TrackPt00313,113 19'18.39"E,23 6'17.17"N,8.2,2019.9.17 10:21:07,,默认图标模式
TrackPt00314,113 19'17.93"E,23 6'17.22"N,6.9,2019.9.17 10:21:10,,默认图标模式
TrackPt00315,113 19'17.42"E,23 6'17.28"N,6.5,2019.9.17 10:21:13,,默认图标模式
TrackPt00316,113 19'16.94"E,23 6'17.29"N,6.2,2019.9.17 10:21:16,,默认图标模式
TrackPt00317,113 19'16.53"E,23 6'17.27"N,6.8,2019.9.17 10:21:21,,默认图标模式
TrackPt00318,113 19'15.95"E,23 6'17.19"N,7.3,2019.9.17 10:21:24,,默认图标模式
TrackPt00319,113 19'15.22"E,23 6'17.12"N,7.4,2019.9.17 10:21:27,,默认图标模式
TrackPt00320,113 19'14.62"E,23 6'17.09"N,7.2,2019.9.17 10:21:30,,默认图标模式
TrackPt00321,113 19'14.25"E,23 6'17.06"N,6.8,2019.9.17 10:21:35,,默认图标模式
TrackPt00322,113 19'14.19"E,23 6'17.11"N,6.5,2019.9.17 10:23:13,,默认图标模式
TrackPt00323,113 19'13.74"E,23 6'17.07"N,6.1,2019.9.17 10:23:18,,默认图标模式
TrackPt00324,113 19'13.25"E,23 6'17.02"N,6.2,2019.9.17 10:23:21,,默认图标模式
TrackPt00325,113 19'12.60"E,23 6'16.97"N,6.8,2019.9.17 10:23:24,,默认图标模式
TrackPt00326,113 19'12.06"E,23 6'16.99"N,6.5,2019.9.17 10:23:26,,默认图标模式
TrackPt00327,113 19'11.73"E,23 6'17.01"N,6,2019.9.17 10:23:27,,默认图标模式
TrackPt00328,113 19'10.97"E,23 6'17.09"N,5,2019.9.17 10:23:29,,默认图标模式
TrackPt00329,113 19'10.56"E,23 6'17.15"N,5,2019.9.17 10:23:30,,默认图标模式
TrackPt00330,113 19'10.13"E,23 6'17.21"N,4.8,2019.9.17 10:23:31,,默认图标模式
TrackPt00331,113 19'9.20"E,23 6'17.35"N,5,2019.9.17 10:23:33,,默认图标模式
TrackPt00332,113 19'8.28"E,23 6'17.49"N,5.4,2019.9.17 10:23:35,,默认图标模式
TrackPt00333,113 19'7.82"E,23 6'17.55"N,5.4,2019.9.17 10:23:36,,默认图标模式
TrackPt00334,113 19'7.37"E,23 6'17.60"N,5.6,2019.9.17 10:23:37,,默认图标模式
TrackPt00335,113 19'5.58"E,23 6'17.87"N,4.6,2019.9.17 10:23:41,,默认图标模式
TrackPt00336,113 19'5.12"E,23 6'17.94"N,4.3,2019.9.17 10:23:42,,默认图标模式
TrackPt00337,113 19'4.68"E,23 6'17.99"N,4.3,2019.9.17 10:23:43,,默认图标模式
TrackPt00338,113 19'4.23"E,23 6'18.06"N,3.7,2019.9.17 10:23:44,,默认图标模式
TrackPt00339,113 19'3.77"E,23 6'18.11"N,3.2,2019.9.17 10:23:45,,默认图标模式
TrackPt00340,113 19'3.32"E,23 6'18.16"N,3.2,2019.9.17 10:23:46,,默认图标模式
TrackPt00341,113 19'2.87"E,23 6'18.20"N,2.9,2019.9.17 10:23:47,,默认图标模式
TrackPt00342,113 19'2.42"E,23 6'18.26"N,2.3,2019.9.17 10:23:48,,默认图标模式
TrackPt00343,113 19'1.97"E,23 6'18.33"N,2.3,2019.9.17 10:23:49,,默认图标模式
TrackPt00344,113 19'1.54"E,23 6'18.38"N,1.7,2019.9.17 10:23:50,,默认图标模式
TrackPt00345,113 19'1.09"E,23 6'18.44"N,1.5,2019.9.17 10:23:51,,默认图标模式
TrackPt00346,113 19'0.65"E,23 6'18.51"N,1.3,2019.9.17 10:23:52,,默认图标模式
TrackPt00347,113 19'0.22"E,23 6'18.59"N,1.1,2019.9.17 10:23:53,,默认图标模式
TrackPt00348,113 18'59.79"E,23 6'18.65"N,1.2,2019.9.17 10:23:54,,默认图标模式
TrackPt00349,113 18'59.35"E,23 6'18.71"N,1.6,2019.9.17 10:23:55,,默认图标模式
TrackPt00350,113 18'58.90"E,23 6'18.77"N,1.6,2019.9.17 10:23:56,,默认图标模式
TrackPt00351,113 18'58.00"E,23 6'18.90"N,1.8,2019.9.17 10:23:58,,默认图标模式
TrackPt00352,113 18'57.54"E,23 6'18.96"N,1.8,2019.9.17 10:23:59,,默认图标模式
TrackPt00353,113 18'57.07"E,23 6'19.03"N,1.9,2019.9.17 10:24:00,,默认图标模式
TrackPt00354,113 18'56.58"E,23 6'19.09"N,2,2019.9.17 10:24:01,,默认图标模式
TrackPt00355,113 18'56.09"E,23 6'19.15"N,2.3,2019.9.17 10:24:02,,默认图标模式
TrackPt00356,113 18'55.57"E,23 6'19.21"N,2.2,2019.9.17 10:24:03,,默认图标模式
TrackPt00357,113 18'55.06"E,23 6'19.28"N,2.1,2019.9.17 10:24:04,,默认图标模式
TrackPt00358,113 18'54.55"E,23 6'19.36"N,2.9,2019.9.17 10:24:05,,默认图标模式
TrackPt00359,113 18'54.05"E,23 6'19.45"N,2.9,2019.9.17 10:24:06,,默认图标模式
TrackPt00360,113 18'53.09"E,23 6'19.66"N,3.7,2019.9.17 10:24:08,,默认图标模式
TrackPt00361,113 18'52.63"E,23 6'19.77"N,3.7,2019.9.17 10:24:09,,默认图标模式
TrackPt00362,113 18'52.18"E,23 6'19.88"N,4.3,2019.9.17 10:24:10,,默认图标模式
TrackPt00363,113 18'51.74"E,23 6'20.02"N,5,2019.9.17 10:24:11,,默认图标模式
TrackPt00364,113 18'51.32"E,23 6'20.15"N,5,2019.9.17 10:24:12,,默认图标模式
TrackPt00365,113 18'50.93"E,23 6'20.28"N,4.6,2019.9.17 10:24:13,,默认图标模式
TrackPt00366,113 18'50.56"E,23 6'20.40"N,4.8,2019.9.17 10:24:14,,默认图标模式
TrackPt00367,113 18'50.22"E,23 6'20.52"N,5.6,2019.9.17 10:24:15,,默认图标模式
TrackPt00368,113 18'49.93"E,23 6'20.64"N,5.6,2019.9.17 10:24:16,,默认图标模式
TrackPt00369,113 18'49.32"E,23 6'20.91"N,6.3,2019.9.17 10:24:19,,默认图标模式
TrackPt00370,113 18'48.87"E,23 6'21.17"N,6.3,2019.9.17 10:24:22,,默认图标模式
TrackPt00371,113 18'48.48"E,23 6'21.37"N,6.4,2019.9.17 10:24:25,,默认图标模式
TrackPt00372,113 18'48.06"E,23 6'21.59"N,7.7,2019.9.17 10:24:28,,默认图标模式
TrackPt00373,113 18'47.52"E,23 6'21.84"N,8.2,2019.9.17 10:24:31,,默认图标模式
TrackPt00374,113 18'46.91"E,23 6'22.11"N,8.3,2019.9.17 10:24:34,,默认图标模式
TrackPt00375,113 18'46.29"E,23 6'22.44"N,6.6,2019.9.17 10:24:37,,默认图标模式
TrackPt00376,113 18'45.79"E,23 6'22.68"N,7.2,2019.9.17 10:24:39,,默认图标模式
TrackPt00377,113 18'45.51"E,23 6'22.80"N,6.8,2019.9.17 10:24:40,,默认图标模式
TrackPt00378,113 18'45.23"E,23 6'22.94"N,6.8,2019.9.17 10:24:41,,默认图标模式
TrackPt00379,113 18'44.44"E,23 6'23.29"N,6.1,2019.9.17 10:24:44,,默认图标模式
TrackPt00380,113 18'44.16"E,23 6'23.40"N,6.1,2019.9.17 10:24:45,,默认图标模式
TrackPt00381,113 18'43.88"E,23 6'23.55"N,6.1,2019.9.17 10:24:46,,默认图标模式
TrackPt00382,113 18'43.58"E,23 6'23.72"N,5.1,2019.9.17 10:24:47,,默认图标模式
TrackPt00383,113 18'43.29"E,23 6'23.91"N,3.7,2019.9.17 10:24:48,,默认图标模式
TrackPt00384,113 18'43.02"E,23 6'24.11"N,2.8,2019.9.17 10:24:49,,默认图标模式
TrackPt00385,113 18'42.76"E,23 6'24.33"N,2.3,2019.9.17 10:24:50,,默认图标模式
TrackPt00386,113 18'42.51"E,23 6'24.58"N,2.5,2019.9.17 10:24:51,,默认图标模式
TrackPt00387,113 18'42.27"E,23 6'24.84"N,2.1,2019.9.17 10:24:52,,默认图标模式
TrackPt00388,113 18'42.04"E,23 6'25.11"N,1.9,2019.9.17 10:24:53,,默认图标模式
TrackPt00389,113 18'41.83"E,23 6'25.40"N,1.9,2019.9.17 10:24:54,,默认图标模式
TrackPt00390,113 18'41.64"E,23 6'25.70"N,2.8,2019.9.17 10:24:55,,默认图标模式
TrackPt00391,113 18'41.49"E,23 6'26.01"N,2.8,2019.9.17 10:24:56,,默认图标模式
TrackPt00392,113 18'41.37"E,23 6'26.35"N,2.6,2019.9.17 10:24:57,,默认图标模式
TrackPt00393,113 18'41.26"E,23 6'26.70"N,1.2,2019.9.17 10:24:58,,默认图标模式
TrackPt00394,113 18'41.16"E,23 6'27.07"N,1.2,2019.9.17 10:24:59,,默认图标模式
TrackPt00395,113 18'41.06"E,23 6'27.42"N,1.5,2019.9.17 10:25:00,,默认图标模式
TrackPt00396,113 18'40.96"E,23 6'27.76"N,2,2019.9.17 10:25:01,,默认图标模式
TrackPt00397,113 18'40.87"E,23 6'28.08"N,2.6,2019.9.17 10:25:02,,默认图标模式
TrackPt00398,113 18'40.77"E,23 6'28.40"N,3.2,2019.9.17 10:25:03,,默认图标模式
TrackPt00399,113 18'40.65"E,23 6'28.69"N,3.2,2019.9.17 10:25:04,,默认图标模式
TrackPt00400,113 18'40.54"E,23 6'28.96"N,4.7,2019.9.17 10:25:05,,默认图标模式
TrackPt00401,113 18'40.08"E,23 6'29.54"N,4.7,2019.9.17 10:25:08,,默认图标模式
TrackPt00402,113 18'39.43"E,23 6'29.82"N,4.3,2019.9.17 10:25:11,,默认图标模式
TrackPt00403,113 18'38.75"E,23 6'29.91"N,5.3,2019.9.17 10:25:14,,默认图标模式
TrackPt00404,113 18'38.36"E,23 6'29.89"N,5.6,2019.9.17 10:25:15,,默认图标模式
TrackPt00405,113 18'38.01"E,23 6'29.70"N,5.4,2019.9.17 10:25:16,,默认图标模式
TrackPt00406,113 18'37.67"E,23 6'29.64"N,6.1,2019.9.17 10:25:17,,默认图标模式
TrackPt00407,113 18'37.32"E,23 6'29.56"N,9.5,2019.9.17 10:25:18,,默认图标模式
TrackPt00408,113 18'37.02"E,23 6'29.45"N,4.3,2019.9.17 10:25:19,,默认图标模式
TrackPt00409,113 18'36.67"E,23 6'29.33"N,4.3,2019.9.17 10:25:20,,默认图标模式
TrackPt00410,113 18'36.38"E,23 6'29.14"N,6.6,2019.9.17 10:25:21,,默认图标模式
TrackPt00411,113 18'36.08"E,23 6'28.95"N,7.3,2019.9.17 10:25:22,,默认图标模式
TrackPt00412,113 18'35.48"E,23 6'28.51"N,8.4,2019.9.17 10:25:24,,默认图标模式
TrackPt00413,113 18'35.18"E,23 6'28.29"N,8.4,2019.9.17 10:25:25,,默认图标模式
TrackPt00414,113 18'34.54"E,23 6'27.83"N,8.3,2019.9.17 10:25:27,,默认图标模式
TrackPt00415,113 18'34.22"E,23 6'27.59"N,7.6,2019.9.17 10:25:28,,默认图标模式
TrackPt00416,113 18'33.91"E,23 6'27.34"N,7.6,2019.9.17 10:25:29,,默认图标模式
TrackPt00417,113 18'33.59"E,23 6'27.11"N,7.4,2019.9.17 10:25:30,,默认图标模式
TrackPt00418,113 18'33.27"E,23 6'26.87"N,7.4,2019.9.17 10:25:31,,默认图标模式
TrackPt00419,113 18'32.95"E,23 6'26.64"N,7.3,2019.9.17 10:25:32,,默认图标模式
TrackPt00420,113 18'32.61"E,23 6'26.42"N,6.9,2019.9.17 10:25:33,,默认图标模式
TrackPt00421,113 18'32.30"E,23 6'26.20"N,6.8,2019.9.17 10:25:34,,默认图标模式
TrackPt00422,113 18'31.97"E,23 6'25.98"N,6.2,2019.9.17 10:25:35,,默认图标模式
TrackPt00423,113 18'31.69"E,23 6'25.73"N,5.5,2019.9.17 10:25:36,,默认图标模式
TrackPt00424,113 18'31.37"E,23 6'25.51"N,5.1,2019.9.17 10:25:37,,默认图标模式
TrackPt00425,113 18'31.06"E,23 6'25.30"N,4.8,2019.9.17 10:25:38,,默认图标模式
TrackPt00426,113 18'30.73"E,23 6'25.10"N,4.7,2019.9.17 10:25:39,,默认图标模式
TrackPt00427,113 18'30.45"E,23 6'24.88"N,4,2019.9.17 10:25:40,,默认图标模式
TrackPt00428,113 18'30.15"E,23 6'24.66"N,4,2019.9.17 10:25:41,,默认图标模式
TrackPt00429,113 18'29.84"E,23 6'24.46"N,3.9,2019.9.17 10:25:42,,默认图标模式
TrackPt00430,113 18'29.51"E,23 6'24.26"N,3.4,2019.9.17 10:25:43,,默认图标模式
TrackPt00431,113 18'29.19"E,23 6'24.06"N,3.4,2019.9.17 10:25:44,,默认图标模式
TrackPt00432,113 18'28.86"E,23 6'23.85"N,3.2,2019.9.17 10:25:45,,默认图标模式
TrackPt00433,113 18'28.54"E,23 6'23.62"N,3,2019.9.17 10:25:46,,默认图标模式
TrackPt00434,113 18'28.21"E,23 6'23.41"N,2.7,2019.9.17 10:25:47,,默认图标模式
TrackPt00435,113 18'27.86"E,23 6'23.19"N,2.7,2019.9.17 10:25:48,,默认图标模式
TrackPt00436,113 18'27.51"E,23 6'22.98"N,2.6,2019.9.17 10:25:49,,默认图标模式
TrackPt00437,113 18'27.16"E,23 6'22.76"N,2.4,2019.9.17 10:25:50,,默认图标模式
TrackPt00438,113 18'26.80"E,23 6'22.54"N,2.4,2019.9.17 10:25:51,,默认图标模式
TrackPt00439,113 18'26.42"E,23 6'22.31"N,2.3,2019.9.17 10:25:52,,默认图标模式
TrackPt00440,113 18'26.02"E,23 6'22.07"N,1.5,2019.9.17 10:25:53,,默认图标模式
TrackPt00441,113 18'25.61"E,23 6'21.81"N,1.3,2019.9.17 10:25:54,,默认图标模式
TrackPt00442,113 18'25.19"E,23 6'21.57"N,1.2,2019.9.17 10:25:55,,默认图标模式
TrackPt00443,113 18'24.79"E,23 6'21.34"N,1.3,2019.9.17 10:25:56,,默认图标模式
TrackPt00444,113 18'24.43"E,23 6'21.09"N,1,2019.9.17 10:25:57,,默认图标模式
TrackPt00445,113 18'24.05"E,23 6'20.88"N,1,2019.9.17 10:25:58,,默认图标模式
TrackPt00446,113 18'23.71"E,23 6'20.67"N,1.1,2019.9.17 10:25:59,,默认图标模式
